"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f7d56c42bf3a9a7eea484966bf6544a6","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",NA
"7270c8ee486ce8b883f99ad5a6286403","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia_xingshanensis"
"05bfc800760b98acd674e0ee5fcf3a8c","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Adelphella","Adelphella_sp"
"d4e3c1e4ed22a04d489737fc9c394ba0","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_sp"
"164bc411ccb6fd9002e423c2796ca449","Fungi",NA,NA,NA,NA,NA,NA
"ad614d87eb191b5f69c8efbc75942a02","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae",NA,NA
"5fbc6883d5e4e5d17f667b3ce3374f1c","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Rhizosphaera","Rhizosphaera_sp"
"74121f3fea193106f79bf1c925424e47","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina_truncicola"
"688dd1595747f81658c25a6878f19e90","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Endosporiaceae","Endosporium","Endosporium_sp"
"6dff1cab9de40d90079ac45ada05b949","Fungi",NA,NA,NA,NA,NA,NA
"b07c687a6c792f56fb149bdb1ce19c15","Fungi",NA,NA,NA,NA,NA,NA
"adc4a084a47af357b482e2e57da4ff0e","Fungi",NA,NA,NA,NA,NA,NA
"5b8dca38b70f4b166ba7e5c6f78ebfb8","Fungi",NA,NA,NA,NA,NA,NA
"c991ae313a90efdcfad9e541a59e3b59","Fungi",NA,NA,NA,NA,NA,NA
"173509435d6b79c1da6d33886813edee","Fungi","Ascomycota",NA,NA,NA,NA,NA
"a5163c83cd0f6880642e8e3ecb8f2660","Fungi",NA,NA,NA,NA,NA,NA
"b24b5f351a1b995890a97a99daf9eafa","Fungi",NA,NA,NA,NA,NA,NA
"14e91c66d9256d4e39440cd4c0e950f7","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
"54fc514417179e754d9d7d61ad8be837","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Podoscyphaceae","Hypochnicium","Hypochnicium_cremicolor"
"1b7d3dbe234c4b06b5f497104824372c","Fungi",NA,NA,NA,NA,NA,NA
"c5da153e54cddcb4ca963d04d4012fcc","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_camelliae-yunnanensis"
"4079dee5fabf9738ef9fd854123b2c63","Fungi",NA,NA,NA,NA,NA,NA
"0264477bc006c2d882f344e4959597fc","Fungi",NA,NA,NA,NA,NA,NA
"62e5897b051ef3bea2bd6b8bb247d9a2","Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium","Septobasidium_kameii"
"6b5d5565f8fd74cc2ab65ef9d0b8924f","Fungi",NA,NA,NA,NA,NA,NA
"2b70924d021281421e5d92183d99ed76","Fungi",NA,NA,NA,NA,NA,NA
"6e67dffa17a07499525422b60c354f9d","Fungi",NA,NA,NA,NA,NA,NA
"d7e05131973270aa7802d5e5b23b0b77","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leptodontidiaceae","Leptodontidium","Leptodontidium_trabinellum"
"e83023edfa23293184652093c13981c4","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Xenasmatella","Xenasmatella_ardosiaca"
"fb64033f4e63b674343b419569254d0c","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Fellozyma","Fellozyma_inositophila"
"07cd92ac5049d747014ed1e8312ea423","Fungi",NA,NA,NA,NA,NA,NA
"a2ff9feaa31ebc2eb4cb6d8dff1739d8","Fungi",NA,NA,NA,NA,NA,NA
"e761316da5fdf9864111ed0d981be14d","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Crepatura","Crepatura_sp"
"20e7b581c33b3c8a3fe337a7ba57428c","Fungi",NA,NA,NA,NA,NA,NA
"8bf483a4db4fd36ba7374d2dd96dfef1","Fungi",NA,NA,NA,NA,NA,NA
"230cc0a5e965ba65713187a2392b34a0","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Derxomyces","Derxomyces_pseudohuiaensis"
"6f0c6b9d2ea373b7dc28f6c6d9b16083","Fungi",NA,NA,NA,NA,NA,NA
"161dd4a2e06b7786d2a4f5100cfe8d03","Fungi",NA,NA,NA,NA,NA,NA
"cf5af75dc7c2c59b6725e95b6acc841d","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae","Hypsotheca","Hypsotheca_pleomorpha"
"f0a9f9fc8289ace2f28af02f405cbf8c","Fungi",NA,NA,NA,NA,NA,NA
"934c78c82606ad8148eda575cfaba2c2","Fungi",NA,NA,NA,NA,NA,NA
"3523e160325b15492424750e2bc8cd11","Fungi",NA,NA,NA,NA,NA,NA
"00e14be0f56a8e46b4deb5c22974185b","Fungi",NA,NA,NA,NA,NA,NA
